id;nome;descricao;quantidade
1;Connecticut schemas;CFA Franc BCEAO Frozen;seamless
2;Digitized;Cambridgeshire;Computers hierarchy
3;Facilitator motivating California;Robust seize cross-platform;Paradigm
4;Awesome Credit Card Account Trafficway;copy Investment Account Officer;olive Ball Chilean Peso Unidades de fomento
5;Tennessee complexity;orchid mobile;Intranet
6;next-generation blue;haptic wireless Licensed Concrete Fish;Gibraltar web services Electronics
7;Sleek Cotton Table portal port;primary;regional interfaces payment
8;solid state dedicated;Plastic;mint green Tennessee Orchestrator
9;Uruguay Hat;Bacon Planner;extensible Organized
10;Colombia visualize deposit;pricing structure Re-contextualized sexy;Fantastic Plastic Keyboard indexing IB
